Name	C_inv	C_maint	C_op
NUCLEAR	729.070126	609.866092	0.000000
CCGT	146.241531	77.441474	0.000000
COAL_US	43.687006	13.960483	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	185.621244	32.306400	0.000000
WIND_ONSHORE	75.719457	15.750000	0.000000
WIND_OFFSHORE	68.841800	24.386000	0.000000
HYDRO_RIVER	38.786522	11.602304	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	176.935824	241.129194	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	49.882081	39.296414	0.000000
IND_BOILER_GAS	18.535310	5.536024	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	8.529490	2.734975	0.000000
IND_BOILER_COAL	24.136616	7.196404	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.715492	0.515807	0.000000
DHN_COGEN_GAS	19.132544	11.859987	0.000000
DHN_COGEN_WOOD	18.935116	14.698118	0.000000
DHN_COGEN_WET_BIOMASS	1.341338	1.728000	0.000000
DHN_COGEN_WASTE	7.206760	5.677386	0.000000
DHN_BOILER_GAS	1.299684	0.388182	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.456280	0.146306	0.000000
DHN_DEEP_GEO	0.562129	0.252000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	20.696024	13.876879	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	39.892054	45.047913	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	255.302583	114.201322	0.000000
DEC_BOILER_WOOD	57.951909	30.229739	0.000000
DEC_BOILER_OIL	276.848707	247.548375	0.000000
DEC_SOLAR	1525.405876	294.666221	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	826.886860	95.182079	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
EFFICIENCY	185.672478	0.000000	0.000000
DHN	26.068183	0.000000	0.000000
GRID	1234.803380	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
H2_NG	0.000000	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000	0.000000
BIOMETHANATION	32.990443	4.774000	0.000000
ELECTRICITY	0.000000	0.000000	2134.286301
GASOLINE	0.000000	0.000000	647.464317
DIESEL	0.000000	0.000000	5196.381098
BIOETHANOL	0.000000	0.000000	247.262864
BIODIESEL	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	11027.818845
NG	0.000000	0.000000	7193.287217
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	155.386134
WET_BIOMASS	0.000000	0.000000	75.657600
COAL	0.000000	0.000000	942.257087
URANIUM	0.000000	0.000000	255.007688
WASTE	0.000000	0.000000	177.552071
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
