Name	Used	Potential
ELECTRICITY	25307.185247	1000000.000000
GASOLINE	7860.816000	1000000.000000
DIESEL	65163.459480	1000000.000000
BIOETHANOL	3002.000000	3002.000000
BIODIESEL	0.000000	0.000000
LFO	194356.132399	1000000.000000
NG	173524.068625	1000000.000000
SNG	0.000000	0.000000
WOOD	5832.812848	96530.000000
WET_BIOMASS	2840.000000	2840.000000
COAL	33354.999435	1000000.000000
URANIUM	65783.718000	1000000.000000
WASTE	6664.867516	90000.000000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	1000000.000000
CO2_EMISSIONS	37453.133510	1000000.000000
RES_WIND	1433.182625	1000000.000000
RES_SOLAR	2813.068981	1000000.000000
RES_HYDRO	168.462314	1000000.000000
RES_GEO	30.454002	100000.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
