Name	Used	Potential
ELECTRICITY	0.000000	1000000.000000
GASOLINE	0.000000	1000000.000000
DIESEL	51694.178680	1000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	47161.337949	1000000.000000
NG	179293.385509	1000000.000000
SNG	0.000000	0.000000
WOOD	17310.000000	17310.000000
WET_BIOMASS	11180.000000	11180.000000
COAL	0.000000	1000000.000000
URANIUM	119096.224147	1000000.000000
WASTE	9800.000000	9800.000000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	1000000.000000
CO2_EMISSIONS	8669.990638	1000000.000000
RES_WIND	7340.485043	1000000.000000
RES_SOLAR	96713.977364	1000000.000000
RES_HYDRO	91.195991	1000000.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
